emg,grf,knee,ankle
2.396929424,-21.33586585,4.661117,10.275176
2.417277889,-20.7474443,4.63826,10.316123
2.445406649,-20.15914704,4.615571,10.357091
2.497474778,-19.57113028,4.593044,10.398085
2.47652783,-18.98350618,4.570679,10.439101
2.306558302,-18.39622426,4.548473,10.480144
2.244914425,-17.80919648,4.526425,10.521214
2.213793244,-17.22233518,4.504532,10.56231
2.081528224,-16.63561125,4.482793,10.603437
2.023475252,-16.0491177,4.461207,10.644597
2.00492224,-15.46296276,4.439772,10.68579
1.979187417,-14.87725343,4.418487,10.727019
1.988164681,-14.29205263,4.397352,10.768287
1.985770744,-13.70736933,4.376366,10.809595
1.98517226,-13.12320919,4.355528,10.850947
1.98936165,-12.53958291,4.334838,10.892344
1.988763165,-11.95657062,4.314297,10.933789
1.984573776,-11.37430325,4.293904,10.975286
1.986967713,-10.79291289,4.273661,11.016836
2.010907083,-10.21252685,4.253565,11.058443
2.019285862,-9.633239058,4.23362,11.100105
2.02467222,-9.055129252,4.213824,11.141829
2.016293441,-8.478277094,4.19418,11.183615
2.001929819,-7.902776766,4.174689,11.225463
2.035444937,-7.328777923,4.155351,11.267378
2.111452437,-6.756443472,4.136168,11.309359
2.13299787,-6.185936151,4.117141,11.351409
2.135990291,-5.61738808,4.098272,11.393529
2.137187259,-5.050865498,4.079562,11.435719
2.141376649,-4.486426093,4.061015,11.477982
2.151550881,-3.924127402,4.042631,11.520318
2.14855846,-3.36402147,4.024413,11.562726
2.152149366,-2.806153407,4.006362,11.605209
2.153944819,-2.250567876,3.988482,11.647765
2.155141787,-1.697312157,3.970775,11.690395
2.154543303,-1.146471367,3.953243,11.733101
2.159929661,-0.598159123,3.93589,11.775879
2.167111472,-0.052489736,3.918718,11.818727
2.168906925,0.49043036,3.901731,11.86165
2.190452358,1.030551823,3.88493,11.904644
2.204217496,1.567850473,3.86832,11.947709
2.22875535,2.102302234,3.851903,11.990844
2.229952318,2.633878262,3.835684,12.034047
2.22037657,3.162530834,3.819666,12.077321
2.201225074,3.688207559,3.803852,12.120661
2.202422043,4.210856202,3.788246,12.164068
2.203020527,4.73045592,3.772852,12.20754
2.266459858,5.24705562,3.757675,12.251076
2.326906767,5.7607136,3.742718,12.294676
2.334687062,6.271486553,3.727987,12.338338
2.325111314,6.779368451,3.713485,12.382062
2.332293125,7.284271624,3.699218,12.425849
2.337080999,7.78610293,3.68519,12.469696
2.337679483,8.284777458,3.671407,12.513603
2.338876452,8.780334911,3.657874,12.55757
2.361020369,9.272911696,3.644596,12.601599
2.361618854,9.762646751,3.631579,12.645688
2.358027948,10.24966536,3.61883,12.689838
2.35683098,10.73399017,3.606354,12.734052
2.343664326,11.21559712,3.594158,12.778329
2.34426281,11.69446192,3.582248,12.822671
2.347255231,12.17057171,3.570632,12.867078
2.347853716,12.64396042,3.559317,12.911553
2.347853716,13.11467393,3.54831,12.956098
2.358626432,13.58275821,3.537619,13.000714
2.374187023,14.04827518,3.527253,13.045405
2.392740035,14.51132346,3.517219,13.090176
2.407702141,14.97200677,3.507526,13.135028
2.410096078,15.43042761,3.498183,13.179965
2.401717298,15.88663716,3.489199,13.224991
2.40052033,16.34061778,3.480582,13.27011
2.408300625,16.79234701,3.472344,13.315326
2.440618775,17.2418056,3.464494,13.360643
2.432838479,17.68902538,3.457042,13.406068
2.411293046,18.13407901,3.449998,13.451604
2.413088499,18.57704028,3.443372,13.497254
2.411891531,19.01797629,3.437177,13.54303
2.429247574,19.45690198,3.431421,13.588931
2.461565723,19.89380774,3.426117,13.634966
2.477126314,20.32868384,3.421276,13.681139
2.481315704,20.76153039,3.416909,13.727458
2.483709641,21.19238917,3.413029,13.773926
2.532785349,21.62131296,3.409647,13.820552
2.554330782,22.04835449,3.406775,13.867338
2.562111078,22.47354524,3.404425,13.914294
2.569891373,22.89686637,3.402611,13.961424
2.566898952,23.31829176,3.401343,14.008734
2.554929267,23.73779518,3.400636,14.05623
2.554929267,24.15534651,3.400501,14.103918
2.541762613,24.57091018,3.400953,14.151802
2.547747456,24.98445025,3.402004,14.19989
2.517224759,25.3959317,3.403667,14.248185
2.516626274,25.80533558,3.405957,14.296698
2.547747456,26.21265612,3.408886,14.345427
2.538770192,26.61788795,3.412469,14.394382
2.733876057,27.02103722,3.416719,14.443568
2.951724325,27.42220348,3.421652,14.492989
3.021746982,27.82153155,3.427281,14.542648
3.046883321,28.21916655,3.433621,14.592553
3.047481805,28.61523741,3.440686,14.642707
3.049875742,29.00980212,3.448494,14.69311
3.058254521,29.40289922,3.457057,14.743773
3.052269679,29.7945675,3.466392,14.794696
3.054663616,30.18491796,3.476515,14.845883
3.056459069,30.57423837,3.487441,14.897338
3.064837848,30.96284304,3.499188,14.949063
3.115110525,31.35104531,3.511771,15.001065
3.142640801,31.73911161,3.525207,15.053343
3.170769561,32.12724156,3.539514,15.105899
3.209072553,32.51562969,3.554708,15.158738
3.252761903,32.90447395,3.570807,15.21186
3.262936135,33.29403216,3.58783,15.265265
3.25934523,33.68461297,3.605794,15.318959
3.253958871,34.07652666,3.624717,15.372941
3.324580013,34.47009046,3.644619,15.427211
3.69444328,34.86568021,3.665519,15.48177
3.860821902,35.26370106,3.687435,15.536619
3.836882532,35.66455837,3.710387,15.591759
3.841670406,36.06864904,3.734396,15.647187
3.848253732,36.47633149,3.759482,15.702905
3.857230996,36.88795326,3.785664,15.758912
3.856034028,37.30386196,3.812963,15.815205
3.854837059,37.72443994,3.841402,15.871782
3.860821902,38.15015732,3.871,15.928642
3.912890031,38.58149788,3.90178,15.985785
3.979321783,39.0189444,3.933763,16.043205
3.999071764,39.46292724,3.966971,16.100901
